Code,Name,Description,NameSort,Logo,SourceLastEdition,SourceISSN,SourceCountry,Language,SourceArchivedSince,SourceFinArchive,SourceDomaine,SourceFrequency,PreviousEdition
MSO_P,Sport Auto Classiques,Sport Auto Classiques est un magazine pour les passionnés de voitures de collection.,Sport Auto Classiques,mso2_small.gif,2024-10-11T00:00:00,2497-0891,France,,2020-01-15T00:00:00,,Consommation,Bimestriel ou trimestriel,2024-07-12T00:00:00
LSM_P,Le Sport Magazine,"Le Sport Magazine est un trimestriel qui permet de suivre, à travers des dossiers complets, les événements sportifs de l'année tel que le Tour de France, la Formule 1 ou encore le Championnat de la MBA. Ce magazine a cessé de publier en mars 2013","Sport Magazine, Le",lsm_small.gif,2012-01-21T00:00:00,2263-8172,France,,2012-01-21T00:00:00,2012-01-21T00:00:00,Sports,Bimestriel ou trimestriel,
WSP_P,SPORT Stratégies,Sport Stratégies est spécialisée dans le domaine du marketing sportif. Elle présente chaque semaine une information complète sur l'actualité du marketing et du sponsoring sportif que se soit par l'intermédiaire de son site Internet.,SPORT Stratégies,wsp_small.gif,2024-12-02T00:00:00,1772-7693,France,,2018-01-15T00:00:00,,"Marketing, médias, communication",Hebdomadaire,2024-11-25T00:00:00
BSA_P,De Standaard,"De Standaard est un quotidien belge publié en néerlandais. Il couvre l'actualité au sens large, incluant la politique, l'économie, le sport, etc.","Standaard, De",bsa_small.gif,2024-11-29T00:00:00,0779-3847,Belgique,,2016-09-29T00:00:00,,Généraliste,Quotidien,2024-11-28T00:00:00
TSC_P,"The Standard (St. Catharines, ON)","Le St. Catharines Standard est un quotidien desservant la ville de St. Catharines et la Municipalité Régionale du Niagara. Il offre à la région une couverture complète des nouvelles locales, des sports et des événements qui intéressent la collectivité ainsi qu'une couverture des nouvelles provinciales, nationales et internationales. ","Standard, The (St. Catharines, ON)",tsc_small.gif,2024-11-30T00:00:00,,Canada,,2018-06-01T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
LSR_P,Star Fan,"Le magazine sur l'Âge d'or du rock and roll pour les amateurs de groupes de musique mythique. Un véritable hymne aux grandes tendances musicales des cinquante dernières années. À chaque parution, Star Fan dépeint un portrait complet du parcours professionnel et personnel d’un personnage marquant dans le milieu musical. De ses débuts à sa consécration en tant qu’artiste, tout est décrit en détail accompagné d’illustrations. Ce magazine a cessé de publier en avril 2013",Star Fan,lsr_small.gif,2012-01-24T00:00:00,1763-7600,France,,2012-01-24T00:00:00,2012-01-24T00:00:00,Arts et culture,Bimestriel ou trimestriel,
TSA_P,"StarMetro (Calgary, AB)",Quotidien de nouvelles locales desservant la région de Calgary en Alberta.,"StarMetro (Calgary, AB)",tsa_small.gif,2019-12-20T00:00:00,,Canada,,2019-02-08T00:00:00,2019-12-20T00:00:00,Généraliste,Quotidien,2019-12-19T00:00:00
TSB_P,"StarMetro (Edmonton, AB)",Quotidien de nouvelles locales desservant la région de Edmonton en Alberta. ,"StarMetro (Edmonton, AB)",tsb_small.gif,2019-12-20T00:00:00,,Canada,,2019-02-08T00:00:00,2019-12-20T00:00:00,Généraliste,Quotidien,2019-12-19T00:00:00
TSD_P,"StarMetro (Halifax, NS)",Quotidien de nouvelles locales desservant la région d'Halifax en Nouvelle-Écosse. ,"StarMetro (Halifax, NS)",tsd_small.gif,2019-12-20T00:00:00,,Canada,,2019-02-08T00:00:00,2019-12-20T00:00:00,Généraliste,Quotidien,2019-12-19T00:00:00
TSE_P,"StarMetro (Toronto, ON)","Quotidien desservant la ville de Toronto en Ontario. Reflet de sa communauté, StarMetro constitue l’une des meilleures sources de nouvelles locales.","StarMetro (Toronto, ON)",tse_small.gif,2019-12-20T00:00:00,,Canada,,2019-02-08T00:00:00,2019-12-20T00:00:00,Généraliste,Quotidien,2019-12-19T00:00:00
TSG_P,"StarMetro (Vancouver, BC)","Quotidien desservant la ville de Vancouver en Colombie-Britannique. Reflet de sa communauté, StarMetro constitue l’une des meilleures sources de nouvelles locales.
","StarMetro (Vancouver, BC)",tsg_small.gif,2019-12-20T00:00:00,,Canada,,2019-02-08T00:00:00,2019-12-20T00:00:00,Généraliste,Quotidien,2019-12-19T00:00:00
BSB_P,Steps City Magazine,"Steps City Magazine est un magazine lifestyle gratuit distribué en Belgique. Steps City Magazine est rédigé en néerlandais et rejoint un bassin de lecteurs important grâce à son fort tirage. Le lectorat du magazine, principalement féminin, y consulte des articles mode, beauté, gastronomie, décoration, voyages. etc.",Steps City Magazine,bsb_small.gif,2021-10-02T00:00:00,2032-958X,Belgique,,2016-10-29T00:00:00,2021-10-02T00:00:00,Consommation,Mensuel ou bimensuel,2021-09-04T00:00:00
PSP_P,Stettler Independent (AB),"Stettler Independant est un journal communautaire couvrant l'actualité de la ville de Stettler et des alentours, en Alberta.",Stettler Independent (AB),psp_small.gif,2024-11-28T00:00:00,,Canada,,2019-09-12T00:00:00,,Généraliste,Hebdomadaire,2024-11-21T00:00:00
FS_P,Stoney Creek News (ON),Le Stoney Creek News est au service de Stoney Creek depuis 1948. Il a grandi avec la ville et a révélé son habileté à couvrir tous les types de nouvelles.,Stoney Creek News (ON),fs2_small.gif,2023-09-14T00:00:00,0834-7433,Canada,,2019-02-14T00:00:00,2023-09-14T00:00:00,Généraliste,Hebdomadaire,2023-09-07T00:00:00
ALB_P,Stores et fermetures,"Le média couvre le marché de la porte, de la fenêtre, de la protection solaire, des portails et des vérandas.",Stores et fermetures,alb_small.gif,2024-10-31T00:00:00,,France,,2024-02-05T00:00:00,,Industrie,Mensuel ou bimensuel,2024-09-06T00:00:00
ISO_P,Stouffville Sun-Tribune (ON),"Articles couvrant l'actualité nationale et internationale, la politique, les affaires, les voyages, les arts et spectacles, les opinions, la vie quotidienne et les sports.",Stouffville Sun-Tribune (ON),iso2_small.gif,2023-09-14T00:00:00,0821-0225,Canada,,2019-01-24T00:00:00,2023-09-14T00:00:00,Généraliste,Hebdomadaire,2023-09-07T00:00:00
ST_P,Stratégies,"Stratégies, l'hebdomadaire de référence des professionnels de la communication fondé en octobre 1971, présente chaque semaine une information complète sur l'économie de la communication, le marketing, la publicité et les médias.",Stratégies,st2_small.gif,2024-11-28T00:00:00,0180-6424,France,,2017-10-12T00:00:00,,"Marketing, médias, communication",Hebdomadaire,2024-11-21T00:00:00
PSN_P,"Stuart Nechako Advertiser (Vanderhoof, BC)","Stuart Nechako Advertiser est un journal qui couvre la localité de Vanderhoof en Colombie-Britannique. Il offre les dernières nouvelles communautaires, les sport et les loisirs.","Stuart Nechako Advertiser (Vanderhoof, BC)",Psn_small.gif,2024-07-11T00:00:00,,Canada,,2019-04-03T00:00:00,2024-07-11T00:00:00,Généraliste,Hebdomadaire,2024-07-04T00:00:00
SOR_P,Sud Ouest - Bassin d'Arcachon / Médoc,"Sud Ouest - Bassin d'Arcachon / Médoc est l'édition quotidienne de la région. Fondé en 1944, Sud Ouest est le deuxième quotidien régional de France. Ayant son siège social à Bordeaux, le quotidien est diffusé sous 16 éditions régionales.
",Sud Ouest - Bassin d'Arcachon / Médoc,sor2_small.gif,2024-11-30T00:00:00,,France,,2021-04-19T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
SOB_P,Sud Ouest - Béarn et Soule,"Sud Ouest - Béarn et Soule est l'édition quotidienne de la région. Fondé en 1944, Sud Ouest est le deuxième quotidien régional de France. Ayant son siège social à Bordeaux, le quotidien est diffusé sous 16 éditions régionales.
",Sud Ouest - Béarn et Soule,sob2_small.gif,2024-11-30T00:00:00,,France,,2021-04-19T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
SO_P,Sud Ouest - Bordeaux Agglo,"Sud Ouest - Bordeaux Agglo est l'édition principale de Sud Ouest. Fondé en 1944, c'est le deuxième quotidien régional de France. Ayant son siège social à Bordeaux, le quotidien est diffusé sous 16 éditions régionales. Les pages pdf pour la période du 5 mai 1994 au 4 juillet 2008 sont manquantes.
",Sud Ouest - Bordeaux Agglo,so3_small.gif,2024-11-30T00:00:00,,France,,1944-08-29T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
SOC_P,Sud Ouest - Charente-Maritime,"Sud Ouest - Charente-Maritime est l'édition quotidienne de la région. Fondé en 1944, Sud Ouest est le deuxième quotidien régional de France. Ayant son siège social à Bordeaux, le quotidien est diffusé sous 16 éditions régionales.
",Sud Ouest - Charente-Maritime,soc2_small.gif,2024-11-30T00:00:00,,France,,2021-04-19T00:00:00,,Généraliste,Quotidien,2024-11-29T00:00:00
